Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-15,LV,4.0,4.0,1.0,6.0,-1.0,-1.0
2020-02-15,LY,4.0,5.0,9.0,6.0,5.0,0.0
2020-02-15,MD,1.0,2.0,-4.0,0.0,-1.0,0.0
2020-02-15,MK,6.0,7.0,4.0,0.0,4.0,0.0
2020-02-15,ML,3.0,-2.0,3.0,3.0,4.0,1.0
2020-02-15,MM,0.0,0.0,-2.0,-1.0,4.0,2.0
2020-02-15,MN,-6.0,6.0,-18.0,-4.0,-1.0,3.0
2020-02-15,MT,6.0,3.0,21.0,6.0,3.0,-1.0
2020-02-15,MU,3.0,-1.0,-12.0,1.0,32.0,1.0
2020-02-15,MX,6.0,4.0,6.0,4.0,3.0,-1.0
2020-02-15,MX_AGU,7.0,6.0,6.0,-14.0,4.0,-2.0
2020-02-15,MX_BCN,7.0,4.0,8.0,8.0,3.0,-1.0
2020-02-15,MX_BCS,11.0,10.0,2.0,2.0,3.0,-1.0
2020-02-15,MX_CAM,9.0,5.0,12.0,-1.0,5.0,-2.0
2020-02-15,MX_CHH,6.0,4.0,10.0,2.0,3.0,-1.0
2020-02-15,MX_CHP,5.0,2.0,2.0,-1.0,2.0,-1.0
2020-02-15,MX_CMX,6.0,4.0,5.0,4.0,3.0,-1.0
2020-02-15,MX_COA,10.0,6.0,11.0,2.0,2.0,-1.0
2020-02-15,MX_COL,6.0,5.0,4.0,-4.0,2.0,-1.0
2020-02-15,MX_DUR,4.0,4.0,6.0,-10.0,4.0,-1.0
2020-02-15,MX_GRO,4.0,2.0,3.0,-3.0,3.0,0.0
2020-02-15,MX_GUA,0.0,6.0,6.0,-3.0,4.0,0.0
2020-02-15,MX_HID,5.0,4.0,12.0,-8.0,5.0,-1.0
2020-02-15,MX_JAL,9.0,7.0,18.0,12.0,4.0,-2.0
2020-02-15,MX_MEX,6.0,6.0,6.0,6.0,4.0,-1.0
2020-02-15,MX_MIC,2.0,2.0,3.0,-1.0,2.0,-1.0
2020-02-15,MX_MOR,3.0,4.0,3.0,1.0,3.0,-1.0
2020-02-15,MX_NAY,1.0,0.0,-1.0,6.0,3.0,0.0
2020-02-15,MX_OAX,1.0,0.0,4.0,-3.0,2.0,-1.0
2020-02-15,MX_PUE,6.0,5.0,1.0,6.0,4.0,-1.0
2020-02-15,MX_QUE,5.0,6.0,6.0,10.0,4.0,-2.0
2020-02-15,MX_ROO,8.0,8.0,10.0,3.0,4.0,-2.0
2020-02-15,MX_SIN,3.0,3.0,4.0,-6.0,3.0,-1.0
2020-02-15,MX_SON,7.0,6.0,0.0,-7.0,3.0,-1.0
2020-02-15,MX_TAB,9.0,7.0,12.0,9.0,5.0,-2.0
